model,label,tp,pp,layer_split,workload,in_len,out_len,n_req,tps,runtime_s,ttft_ms,success
Llama-3.1-8B,TP2PP4_layer_blackbias_10-10-6-6,2,4,10-10-6-6,balanced,512,256,128,2576.9,12.72,7114.9,True
Llama-3.1-8B,TP2PP4_layer_blackbias_10-10-6-6,2,4,10-10-6-6,decode_heavy,128,512,128,6298.3,10.41,1405.9,True
Llama-3.1-8B,TP2PP4_layer_blackbias_10-10-6-6,2,4,10-10-6-6,prefill_heavy,1024,128,128,4004.9,4.09,1559.3,True
Llama-3.1-8B,TP2PP4_layer_blackbias_9-9-7-7,2,4,9-9-7-7,balanced,512,256,128,2803.7,11.69,5996.6,True
Llama-3.1-8B,TP2PP4_layer_blackbias_9-9-7-7,2,4,9-9-7-7,decode_heavy,128,512,128,6560.0,9.99,965.9,True
Llama-3.1-8B,TP2PP4_layer_blackbias_9-9-7-7,2,4,9-9-7-7,prefill_heavy,1024,128,128,4028.3,4.07,1539.9,True
Llama-3.1-8B,TP2PP4_layer_uniform_8-8-8-8,2,4,8-8-8-8,balanced,512,256,128,3378.2,9.70,4259.1,True
Llama-3.1-8B,TP2PP4_layer_uniform_8-8-8-8,2,4,8-8-8-8,decode_heavy,128,512,128,6620.6,9.90,970.4,True
Llama-3.1-8B,TP2PP4_layer_uniform_8-8-8-8,2,4,8-8-8-8,prefill_heavy,1024,128,128,4154.9,3.94,1555.1,True
Llama-3.1-8B,TP4PP2_layer_skew+2_18-14,4,2,18-14,balanced,512,256,128,4638.7,7.06,1994.0,True
Llama-3.1-8B,TP4PP2_layer_skew+2_18-14,4,2,18-14,decode_heavy,128,512,128,6852.8,9.56,842.8,True
Llama-3.1-8B,TP4PP2_layer_skew+2_18-14,4,2,18-14,prefill_heavy,1024,128,128,5185.3,3.16,798.0,True
Llama-3.1-8B,TP4PP2_layer_skew+4_20-12,4,2,20-12,balanced,512,256,128,4571.0,7.17,2058.9,True
Llama-3.1-8B,TP4PP2_layer_skew+4_20-12,4,2,20-12,decode_heavy,128,512,128,6780.4,9.67,762.8,True
Llama-3.1-8B,TP4PP2_layer_skew+4_20-12,4,2,20-12,prefill_heavy,1024,128,128,3976.2,4.12,1212.7,True
Llama-3.1-8B,TP4PP2_layer_skew+6_22-10,4,2,22-10,balanced,512,256,128,5481.0,5.98,879.0,True
Llama-3.1-8B,TP4PP2_layer_skew+6_22-10,4,2,22-10,decode_heavy,128,512,128,7108.5,9.22,834.9,True
Llama-3.1-8B,TP4PP2_layer_skew+6_22-10,4,2,22-10,prefill_heavy,1024,128,128,2374.3,6.90,922.4,True
Llama-3.1-8B,TP4PP2_layer_skew+8_24-8,4,2,24-8,balanced,512,256,128,3272.2,10.01,3688.4,True
Llama-3.1-8B,TP4PP2_layer_skew+8_24-8,4,2,24-8,decode_heavy,128,512,128,7193.7,9.11,723.0,True
Llama-3.1-8B,TP4PP2_layer_skew+8_24-8,4,2,24-8,prefill_heavy,1024,128,128,3936.6,4.16,1122.6,True
Llama-3.1-8B,TP4PP2_layer_uniform_16-16,4,2,16-16,balanced,512,256,128,3750.2,8.74,3518.6,True
Llama-3.1-8B,TP4PP2_layer_uniform_16-16,4,2,16-16,decode_heavy,128,512,128,6608.5,9.92,780.7,True
Llama-3.1-8B,TP4PP2_layer_uniform_16-16,4,2,16-16,prefill_heavy,1024,128,128,4876.1,3.36,872.5,True
Llama-3.1-8B,TP8PP1_uniform,8,1,32,balanced,512,256,128,1422.3,23.04,819.8,True
Llama-3.1-8B,TP8PP1_uniform,8,1,32,decode_heavy,128,512,128,1626.8,40.29,646.1,True
Llama-3.1-8B,TP8PP1_uniform,8,1,32,prefill_heavy,1024,128,128,1732.9,9.45,412.3,True
