model,label,tp,pp,layer_split,ffn_splits,head_splits,kv_splits,workload,in_len,out_len,n_req,tps,ttft_ms,itl_ms,regime,n_layers,hidden,ffn_dim,n_q,n_kv,head_dim,params_b,vocab,source_dir
70b,TP4PP2_layer_skew+4_44-36,4,2,44-36,7168:7168:7168:7168,16:16:16:16,2:2:2:2,balanced,512,256,128,1727.906508,1399.309908,68.371194,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP4PP2_layer_skew+4_44-36,4,2,44-36,7168:7168:7168:7168,16:16:16:16,2:2:2:2,decode_heavy,128,512,128,1479.719957,2449.024159,81.504063,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP4PP2_layer_skew+4_44-36,4,2,44-36,7168:7168:7168:7168,16:16:16:16,2:2:2:2,prefill_heavy,1024,128,128,1109.457601,2766.436314,93.455727,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP4PP2_layer_skew+8_48-32,4,2,48-32,7168:7168:7168:7168,16:16:16:16,2:2:2:2,balanced,512,256,128,1450.583851,2796.500019,76.842805,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP4PP2_layer_skew+8_48-32,4,2,48-32,7168:7168:7168:7168,16:16:16:16,2:2:2:2,decode_heavy,128,512,128,1534.479282,2386.324862,78.505815,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP4PP2_layer_skew+8_48-32,4,2,48-32,7168:7168:7168:7168,16:16:16:16,2:2:2:2,prefill_heavy,1024,128,128,1153.758753,3014.743285,86.883393,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP4PP2_layer_uniform_40-40,4,2,40-40,7168:7168:7168:7168,16:16:16:16,2:2:2:2,balanced,512,256,128,1459.642894,2596.488602,77.109603,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP4PP2_layer_uniform_40-40,4,2,40-40,7168:7168:7168:7168,16:16:16:16,2:2:2:2,decode_heavy,128,512,128,1552.946563,2444.423035,77.14539,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP4PP2_layer_uniform_40-40,4,2,40-40,7168:7168:7168:7168,16:16:16:16,2:2:2:2,prefill_heavy,1024,128,128,1319.140703,1882.287093,81.787414,overlap,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_170850
70b,TP2PP4_layer_blackbias_22-22-18-18,2,4,22-22-18-18,14336:14336,32:32,4:4,balanced,512,256,128,1090.946995,4431.5053,99.930077,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP2PP4_layer_blackbias_22-22-18-18,2,4,22-22-18-18,14336:14336,32:32,4:4,decode_heavy,128,512,128,1168.935196,3908.597539,101.804013,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP2PP4_layer_uniform_20-20-20-20,2,4,20-20-20-20,14336:14336,32:32,4:4,balanced,512,256,128,1038.327856,5434.227062,102.03351,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP2PP4_layer_uniform_20-20-20-20,2,4,20-20-20-20,14336:14336,32:32,4:4,decode_heavy,128,512,128,1098.404696,6310.2293,103.937016,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP2PP4_layer_uniform_20-20-20-20,2,4,20-20-20-20,14336:14336,32:32,4:4,prefill_heavy,1024,128,128,858.939614,5245.722002,107.812664,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+12_52-28,4,2,52-28,7168:7168:7168:7168,16:16:16:16,2:2:2:2,balanced,512,256,128,1456.015765,2874.008519,76.249575,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+12_52-28,4,2,52-28,7168:7168:7168:7168,16:16:16:16,2:2:2:2,decode_heavy,128,512,128,1552.466202,2581.716705,77.201242,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
70b,TP4PP2_layer_skew+12_52-28,4,2,52-28,7168:7168:7168:7168,16:16:16:16,2:2:2:2,prefill_heavy,1024,128,128,1252.723019,3011.123686,78.074996,stock,80,8192,28672,64,8,128,70,128256,hetero_4x4_70b_full_20260609_122900
