layout,model,tp,pp,label,layer_split,ffn_splits,workload,n_req,in_len,out_len,tps,itl_ms,ttft_ms
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,prefill_heavy,32,1024,128,346.6,90.9,237.2
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,prefill_heavy,32,1024,128,254.1,124.4,269.4
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,prefill_heavy,32,1024,128,230.3,137.1,327.1
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,prefill_heavy,64,1024,128,1002.7,62.2,216.7
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,prefill_heavy,64,1024,128,944.5,64.6,318.7
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,prefill_heavy,64,1024,128,904.4,67.6,419.4
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,prefill_heavy,64,1024,128,861.6,71.7,311.0
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,prefill_heavy,64,1024,128,840.0,73.7,258.5
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,prefill_heavy,64,1024,128,747.9,82.5,415.5
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,prefill_heavy,64,1024,128,456.5,133.6,887.7
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,prefill_heavy,64,1024,128,449.7,140.0,354.0
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,prefill_heavy,64,1024,128,384.8,162.4,445.5
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,prefill_heavy,64,1024,128,370.3,169.1,555.6
4+4,70b,4,2,TP4PP2_skew+8,48-32,7168:7168:7168:7168,prefill_heavy,96,1024,128,1448.7,63.1,339.0
4+4,70b,4,2,TP4PP2_skew+12,52-28,7168:7168:7168:7168,prefill_heavy,96,1024,128,1409.3,65.6,258.8
4+4,70b,4,2,TP4PP2_uniform,40-40,7168:7168:7168:7168,prefill_heavy,96,1024,128,1321.7,68.6,455.7
4+4,70b,2,4,TP2PP4_skew+8,28-28-12-12,14336:14336,prefill_heavy,96,1024,128,1175.9,79.3,270.7
4+4,70b,2,4,TP2PP4_skew+12,32-32-8-8,14336:14336,prefill_heavy,96,1024,128,1030.6,90.6,271.9
4+4,70b,2,4,TP2PP4_uniform,20-20-20-20,14336:14336,prefill_heavy,96,1024,128,944.6,98.5,345.6
4+4,70b,1,8,TP1PP8_skew+8,18-18-18-18-2-2-2-2,28672,prefill_heavy,96,1024,128,543.9,173.2,425.6
4+4,70b,1,8,TP1PP8_uniform,10-10-10-10-10-10-10-10,28672,prefill_heavy,96,1024,128,517.1,183.1,358.5
4+4,70b,8,1,TP8PP1_uniform,80,3584:3584:3584:3584:3584:3584:3584:3584,prefill_heavy,96,1024,128,390.0,241.9,605.4
4+4,70b,8,1,TP8PP1_ffn_bias+50,80,5376:5376:5376:5376:1792:1792:1792:1792,prefill_heavy,96,1024,128,375.1,251.2,679.5
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,balanced,16,512,256,769.1,17.4,910.3
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,balanced,16,512,256,739.8,15.5,1598.8
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,balanced,16,512,256,723.1,16.4,1561.5
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,balanced,16,512,256,659.2,16.1,2137.5
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,balanced,16,512,256,623.1,22.4,915.9
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,balanced,16,512,256,373.0,31.8,2861.4
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,balanced,16,512,256,207.2,56.3,5555.1
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,balanced,32,512,256,2595.5,10.9,249.7
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,balanced,32,512,256,2579.6,11.2,227.1
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,balanced,32,512,256,2194.6,13.4,304.9
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,balanced,32,512,256,2099.9,15.1,62.0
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,balanced,32,512,256,1511.0,20.5,146.6
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,balanced,32,512,256,1333.9,23.8,119.9
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,balanced,32,512,256,1190.9,22.6,1324.4
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,balanced,64,512,256,4004.8,12.6,518.7
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,balanced,64,512,256,3850.5,15.6,240.3
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,balanced,64,512,256,3679.8,14.3,496.0
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,balanced,64,512,256,3508.8,14.0,660.1
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,balanced,64,512,256,1826.6,34.6,184.4
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,balanced,64,512,256,1610.7,34.8,1268.8
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,balanced,64,512,256,1300.1,49.3,128.9
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,balanced,96,512,256,5919.1,15.3,183.6
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,balanced,96,512,256,5579.0,15.6,310.9
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,balanced,96,512,256,4548.7,14.7,991.4
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,balanced,96,512,256,4092.1,17.9,1433.6
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,balanced,96,512,256,1777.8,53.4,222.0
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,balanced,96,512,256,1756.1,53.6,200.2
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,balanced,96,512,256,1331.4,72.0,176.7
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,decode_heavy,16,128,512,1116.7,10.4,2073.5
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,decode_heavy,16,128,512,1095.4,13.5,572.3
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,decode_heavy,16,128,512,1070.4,10.3,2422.5
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,decode_heavy,16,128,512,1043.4,13.7,852.8
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,decode_heavy,16,128,512,886.2,13.1,2593.5
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,decode_heavy,16,128,512,522.7,24.0,3443.4
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,decode_heavy,16,128,512,403.1,28.8,5651.2
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,decode_heavy,32,128,512,3159.6,9.7,206.2
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,decode_heavy,32,128,512,2789.9,11.4,56.8
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,decode_heavy,32,128,512,2589.1,11.2,622.0
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,decode_heavy,32,128,512,1500.2,20.8,258.5
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,decode_heavy,32,128,512,1490.2,20.5,529.7
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,decode_heavy,32,128,512,1401.8,22.8,101.3
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,decode_heavy,32,128,512,1239.9,25.7,107.8
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,decode_heavy,64,128,512,4731.2,13.4,69.8
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,decode_heavy,64,128,512,4670.7,12.6,405.7
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,decode_heavy,64,128,512,4533.7,12.9,426.5
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,decode_heavy,64,128,512,1910.2,33.4,120.1
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,decode_heavy,64,128,512,1850.2,33.9,368.5
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,decode_heavy,64,128,512,1816.1,34.3,497.8
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,decode_heavy,64,128,512,1680.5,38.1,113.3
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,decode_heavy,96,128,512,6111.7,15.4,146.1
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,decode_heavy,96,128,512,5674.6,15.3,902.4
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,decode_heavy,96,128,512,5265.6,16.0,931.5
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,decode_heavy,96,128,512,2160.7,44.2,179.2
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,decode_heavy,96,128,512,1776.3,52.7,692.3
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,decode_heavy,96,128,512,1763.0,53.5,521.7
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,decode_heavy,96,128,512,1301.9,69.4,113.9
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,prefill_heavy,16,1024,128,554.0,12.3,2121.0
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,prefill_heavy,16,1024,128,516.3,18.7,1646.4
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,prefill_heavy,16,1024,128,483.0,21.0,1705.8
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,prefill_heavy,16,1024,128,461.2,27.5,921.8
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,prefill_heavy,16,1024,128,443.9,19.4,2130.7
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,prefill_heavy,16,1024,128,189.0,52.5,4143.8
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,prefill_heavy,16,1024,128,126.1,85.2,5400.8
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,prefill_heavy,32,1024,128,1761.0,12.8,210.2
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,prefill_heavy,32,1024,128,1668.5,18.3,103.9
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,prefill_heavy,32,1024,128,1622.7,16.6,377.5
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,prefill_heavy,32,1024,128,1469.6,20.5,141.5
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,prefill_heavy,32,1024,128,1317.2,21.8,233.1
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,prefill_heavy,32,1024,128,820.1,38.1,122.2
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,prefill_heavy,32,1024,128,625.7,39.8,1439.8
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,prefill_heavy,64,1024,128,3469.4,15.1,260.7
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,prefill_heavy,64,1024,128,2842.6,16.2,509.8
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,prefill_heavy,64,1024,128,2371.0,25.5,152.1
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,prefill_heavy,64,1024,128,2185.6,23.7,487.4
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,prefill_heavy,64,1024,128,1457.7,33.8,1286.4
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,prefill_heavy,64,1024,128,1444.8,33.3,1287.8
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,prefill_heavy,64,1024,128,1340.3,46.4,151.5
4+4,8b,4,2,TP4PP2_skew+8,24-8,3584:3584:3584:3584,prefill_heavy,96,1024,128,4311.6,20.8,115.3
4+4,8b,4,2,TP4PP2_skew+12,28-4,3584:3584:3584:3584,prefill_heavy,96,1024,128,3205.4,26.0,438.4
4+4,8b,4,2,TP4PP2_uniform,16-16,3584:3584:3584:3584,prefill_heavy,96,1024,128,3039.4,20.8,809.5
4+4,8b,1,8,TP1PP8_uniform,4-4-4-4-4-4-4-4,14336,prefill_heavy,96,1024,128,2567.9,27.8,761.2
4+4,8b,2,4,TP2PP4_uniform,8-8-8-8,7168:7168,prefill_heavy,96,1024,128,2215.8,41.8,134.9
4+4,8b,8,1,TP8PP1_ffn_bias+50,32,2688:2688:2688:2688:896:896:896:896,prefill_heavy,96,1024,128,1778.5,52.0,191.2
4+4,8b,8,1,TP8PP1_uniform,32,1792:1792:1792:1792:1792:1792:1792:1792,prefill_heavy,96,1024,128,1674.5,49.3,735.7
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,balanced,16,512,256,202.5,75.3,990.8
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,balanced,16,512,256,173.3,88.5,1011.7
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,balanced,16,512,256,173.1,78.0,3751.8
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,balanced,16,512,256,164.2,86.7,2828.4
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,balanced,16,512,256,163.4,94.7,878.7
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,balanced,16,512,256,132.1,113.8,1956.1
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,balanced,16,512,256,112.5,125.1,4440.6
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,balanced,16,512,256,106.2,134.6,4227.4
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,balanced,16,512,256,77.4,194.5,3291.7
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,balanced,16,512,256,59.1,245.8,6483.5
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,balanced,32,512,256,364.5,87.3,175.6
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,balanced,32,512,256,358.9,88.7,185.0
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,balanced,32,512,256,304.4,98.8,1671.1
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,balanced,32,512,256,266.5,119.4,238.0
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,balanced,32,512,256,250.9,126.8,274.1
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,balanced,32,512,256,229.4,138.6,300.0
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,balanced,32,512,256,209.8,151.6,277.4
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,balanced,32,512,256,198.9,159.1,590.8
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,balanced,32,512,256,163.6,194.4,431.5
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,balanced,32,512,256,126.1,245.4,2311.0
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,balanced,64,512,256,692.0,89.4,816.3
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,balanced,64,512,256,689.4,91.6,345.5
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,balanced,64,512,256,607.7,104.6,219.7
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,balanced,64,512,256,526.6,120.3,364.5
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,balanced,64,512,256,501.9,126.4,326.5
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,balanced,64,512,256,446.8,138.8,1195.0
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,balanced,64,512,256,241.5,256.9,2198.1
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,balanced,64,512,256,235.0,269.4,672.9
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,balanced,64,512,256,224.5,283.6,502.5
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,balanced,64,512,256,224.2,283.8,559.7
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,balanced,96,512,256,1051.8,90.3,206.4
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,balanced,96,512,256,1046.7,90.9,210.1
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,balanced,96,512,256,885.2,106.8,357.8
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,balanced,96,512,256,827.0,115.1,245.6
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,balanced,96,512,256,815.3,114.8,475.4
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,balanced,96,512,256,700.8,135.5,381.1
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,balanced,96,512,256,609.6,153.1,1156.4
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,balanced,96,512,256,558.3,170.3,439.7
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,balanced,96,512,256,324.7,294.2,474.8
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,balanced,96,512,256,297.7,320.6,594.0
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,decode_heavy,16,128,512,197.6,76.4,2432.1
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,decode_heavy,16,128,512,192.4,78.6,2432.9
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,decode_heavy,16,128,512,176.7,88.8,929.1
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,decode_heavy,16,128,512,166.0,90.9,2923.7
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,decode_heavy,16,128,512,153.0,100.7,1993.2
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,decode_heavy,16,128,512,133.8,113.5,3153.0
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,decode_heavy,16,128,512,125.9,120.1,3638.6
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,decode_heavy,16,128,512,116.0,134.2,2021.9
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,decode_heavy,16,128,512,75.5,203.7,4359.2
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,decode_heavy,16,128,512,62.1,247.5,5304.5
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,decode_heavy,32,128,512,352.9,90.1,352.2
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,decode_heavy,32,128,512,352.2,90.3,361.6
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,decode_heavy,32,128,512,342.1,93.0,367.8
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,decode_heavy,32,128,512,270.5,117.8,347.8
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,decode_heavy,32,128,512,255.8,124.5,373.3
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,decode_heavy,32,128,512,229.6,138.8,396.9
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,decode_heavy,32,128,512,208.7,152.6,467.8
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,decode_heavy,32,128,512,199.1,160.0,522.1
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,decode_heavy,32,128,512,163.9,193.7,857.9
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,decode_heavy,32,128,512,129.8,245.8,514.8
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,decode_heavy,64,128,512,712.5,89.0,445.2
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,decode_heavy,64,128,512,683.2,92.8,462.4
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,decode_heavy,64,128,512,617.1,102.8,512.4
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,decode_heavy,64,128,512,537.2,118.0,606.5
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,decode_heavy,64,128,512,509.4,124.9,438.8
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,decode_heavy,64,128,512,466.2,136.4,518.8
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,decode_heavy,64,128,512,289.5,220.3,496.0
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,decode_heavy,64,128,512,234.2,272.1,774.6
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,decode_heavy,64,128,512,228.7,278.8,641.9
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,decode_heavy,64,128,512,226.7,281.2,814.4
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,decode_heavy,96,128,512,1051.5,90.3,510.7
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,decode_heavy,96,128,512,1044.9,90.9,524.4
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,decode_heavy,96,128,512,872.8,107.9,973.3
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,decode_heavy,96,128,512,867.8,109.3,621.4
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,decode_heavy,96,128,512,835.2,112.8,1097.9
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,decode_heavy,96,128,512,706.2,135.1,460.3
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,decode_heavy,96,128,512,631.9,151.1,440.5
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,decode_heavy,96,128,512,561.1,170.1,545.4
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,decode_heavy,96,128,512,327.2,292.5,560.3
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,decode_heavy,96,128,512,299.6,319.2,749.3
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,prefill_heavy,16,1024,128,183.7,77.1,1327.5
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,prefill_heavy,16,1024,128,156.6,89.3,1708.0
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,prefill_heavy,16,1024,128,152.4,94.2,1426.7
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,prefill_heavy,16,1024,128,142.5,89.8,2920.6
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,prefill_heavy,16,1024,128,140.7,94.2,2572.7
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,prefill_heavy,16,1024,128,106.7,125.3,3276.5
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,prefill_heavy,16,1024,128,100.3,132.9,3471.5
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,prefill_heavy,16,1024,128,94.6,143.9,3347.6
4+4,mistral123b,1,8,TP1PP8_skew+8,19-19-19-19-3-3-3-3,28672,prefill_heavy,16,1024,128,64.1,195.2,7071.9
4+4,mistral123b,1,8,TP1PP8_uniform,11-11-11-11-11-11-11-11,28672,prefill_heavy,16,1024,128,47.9,283.8,6671.3
4+4,mistral123b,4,2,TP4PP2_skew+12,56-32,7168:7168:7168:7168,prefill_heavy,32,1024,128,363.4,86.0,313.5
4+4,mistral123b,4,2,TP4PP2_skew+8,52-36,7168:7168:7168:7168,prefill_heavy,32,1024,128,352.8,88.5,323.2
4+4,mistral123b,4,2,TP4PP2_uniform,44-44,7168:7168:7168:7168,prefill_heavy,32,1024,128,326.8,95.9,328.6
4+4,mistral123b,2,4,TP2PP4_skew+8,30-30-14-14,14336:14336,prefill_heavy,32,1024,128,247.5,125.4,586.0
4+4,mistral123b,2,4,TP2PP4_skew+12,34-34-10-10,14336:14336,prefill_heavy,32,1024,128,235.4,133.5,375.5
4+4,mistral123b,2,4,TP2PP4_uniform,22-22-22-22,14336:14336,prefill_heavy,32,1024,128,215.9,143.8,667.2
4+4,mistral123b,8,1,TP8PP1_uniform,88,3584:3584:3584:3584:3584:3584:3584:3584,prefill_heavy,32,1024,128,202.9,153.9,581.5
4+4,mistral123b,8,1,TP8PP1_ffn_bias+50,88,5376:5376:5376:5376:1792:1792:1792:1792,prefill_heavy,32,1024,128,198.3,158.1,526.9
