layout,model,tp,pp,label,layer_split,ffn_splits,workload,n_req,in_len,out_len,tps,itl_ms,ttft_ms
2+2,70b,4,1,TP4PP1_uniform,80,7168:7168:7168:7168,balanced,64,512,256,841.8,74.4,374.7
2+2,70b,2,2,TP2PP2_skew+8,48-32,14336:14336,balanced,64,512,256,753.7,82.5,477.5
2+2,70b,2,2,TP2PP2_uniform,40-40,14336:14336,balanced,64,512,256,643.2,97.3,464.2
2+2,70b,1,4,TP1PP4_skew+8,28-28-12-12,28672,balanced,64,512,256,487.9,128.9,522.4
2+2,70b,1,4,TP1PP4_uniform,20-20-20-20,28672,balanced,64,512,256,438.4,143.2,649.0
2+2,70b,4,1,TP4PP1_ffn_bias+50,80,10752:10752:3584:3584,balanced,96,512,256,1180.8,79.3,364.3
2+2,70b,2,2,TP2PP2_skew+8,48-32,14336:14336,balanced,96,512,256,1132.9,81.2,642.2
2+2,70b,4,1,TP4PP1_uniform,80,7168:7168:7168:7168,balanced,96,512,256,1041.8,89.4,651.2
2+2,70b,2,2,TP2PP2_uniform,40-40,14336:14336,balanced,96,512,256,924.1,100.5,636.6
2+2,70b,1,4,TP1PP4_skew+8,28-28-12-12,28672,balanced,96,512,256,675.4,138.7,694.4
2+2,70b,1,4,TP1PP4_uniform,20-20-20-20,28672,balanced,96,512,256,522.7,180.4,700.2
2+2,8b,4,1,TP4PP1_uniform,32,3584:3584:3584:3584,balanced,16,512,256,1168.2,11.9,481.0
2+2,8b,4,1,TP4PP1_ffn_bias+50,32,5376:5376:1792:1792,balanced,16,512,256,840.5,13.0,1574.0
2+2,8b,2,2,TP2PP2_uniform,16-16,7168:7168,balanced,16,512,256,713.7,15.4,1856.5
2+2,8b,2,2,TP2PP2_skew+8,24-8,7168:7168,balanced,16,512,256,650.2,21.5,875.3
2+2,8b,1,4,TP1PP4_uniform,8-8-8-8,14336,balanced,16,512,256,389.7,28.9,3213.0
2+2,8b,4,1,TP4PP1_ffn_bias+50,32,5376:5376:1792:1792,balanced,32,512,256,1990.9,15.6,118.3
2+2,8b,4,1,TP4PP1_uniform,32,3584:3584:3584:3584,balanced,32,512,256,1888.8,15.6,311.4
2+2,8b,2,2,TP2PP2_skew+8,24-8,7168:7168,balanced,32,512,256,1717.8,17.9,203.9
2+2,8b,2,2,TP2PP2_uniform,16-16,7168:7168,balanced,32,512,256,1485.8,21.3,72.1
2+2,8b,1,4,TP1PP4_uniform,8-8-8-8,14336,balanced,32,512,256,1237.8,25.7,81.2
2+2,8b,2,2,TP2PP2_skew+8,24-8,7168:7168,balanced,64,512,256,3297.7,16.8,677.2
2+2,8b,2,2,TP2PP2_uniform,16-16,7168:7168,balanced,64,512,256,2400.1,26.0,135.5
2+2,8b,4,1,TP4PP1_uniform,32,3584:3584:3584:3584,balanced,64,512,256,2118.6,29.5,123.1
2+2,8b,4,1,TP4PP1_ffn_bias+50,32,5376:5376:1792:1792,balanced,64,512,256,2081.8,30.2,139.3
2+2,8b,1,4,TP1PP4_uniform,8-8-8-8,14336,balanced,64,512,256,1472.1,43.4,133.6
2+2,8b,2,2,TP2PP2_skew+8,24-8,7168:7168,balanced,96,512,256,4560.0,15.5,789.9
2+2,8b,1,4,TP1PP4_uniform,8-8-8-8,14336,balanced,96,512,256,3815.9,24.5,121.3
2+2,8b,2,2,TP2PP2_uniform,16-16,7168:7168,balanced,96,512,256,3505.8,26.8,102.6
2+2,8b,4,1,TP4PP1_ffn_bias+50,32,5376:5376:1792:1792,balanced,96,512,256,2094.6,45.0,147.5
2+2,8b,4,1,TP4PP1_uniform,32,3584:3584:3584:3584,balanced,96,512,256,1740.6,54.3,183.6
